ALL TISSUES,,,,,
Tissue,Thermal Conductivity (W/m/°C),Standard Deviation,Number of Studies,Minimum,Maximum
Air,0.03,0,4,0.03,0.03
Bile,0.58,0.05,2,0.55,0.62
Blood,0.52,0.03,7,0.49,0.56
Blood Plasma,0.58,0,1,0.58,0.58
Blood Serum,NaN,NaN,0,NaN,NaN
Blood Vessel Wall,0.46,0.02,3,0.44,0.48
Bone (Cancellous),0.31,0.03,4,0.29,0.36
Bone (Cortical),0.32,0.03,3,0.3,0.36
Bone Marrow (Red),0.28,0,1,0.28,0.28
Bone Marrow (Yellow),0.19,0,1,0.19,0.19
Brain,0.51,0.02,4,0.49,0.54
Brain (Grey Matter),0.55,0.03,2,0.53,0.56
Brain (White Matter),0.48,0.03,2,0.46,0.5
Breast Fat,0.21,0,1,0.21,0.21
Breast Gland,0.33,0.02,2,0.32,0.35
Bronchi,0.46,0.02,3,0.44,0.48
Bronchi lumen,0.03,0,4,0.03,0.03
Cartilage,0.49,0.03,3,0.47,0.52
Cerebellum,0.51,0,1,0.51,0.51
Cerebrospinal Fluid,0.57,0.06,3,0.5,0.62
Cervix,0.53,0.02,2,0.51,0.54
Commissura Anterior,0.48,0.03,2,0.46,0.5
Commissura Posterior,0.48,0.03,2,0.46,0.5
Connective Tissue,0.39,0,1,0.39,0.39
Diaphragm,0.49,0.04,8,0.42,0.56
Ductus Deferens,0.46,0.02,3,0.44,0.48
Dura,0.44,0,1,0.44,0.44
Epididymis,0.52,0,1,0.52,0.52
Esophagus,0.53,0,1,0.53,0.53
Esophagus Lumen,0.03,0,4,0.03,0.03
Eye (Cornea),0.54,0.06,2,0.5,0.58
Eye (Lens),0.43,0.06,3,0.4,0.5
Eye (Sclera),0.58,0,1,0.58,0.58
Eye (Vitreous Humor),0.59,0.01,5,0.59,0.6
Eye Lens (Cortex),0.43,0.06,3,0.4,0.5
Eye Lens (Nucleus),0.43,0.06,3,0.4,0.5
Fat,0.21,0.02,8,0.18,0.24
Fat (Average Infiltrated),0.21,0.02,8,0.18,0.24
Fat (Not Infiltrated),0.21,0.02,8,0.18,0.24
Gallbladder,0.52,0,1,0.52,0.52
Heart Lumen,0.52,0.03,7,0.49,0.56
Heart Muscle,0.56,0.04,7,0.5,0.6
Hippocampus,0.55,0.03,2,0.53,0.56
Hypophysis,0.51,0,1,0.51,0.51
Hypothalamus,0.55,0.03,2,0.53,0.56
Intervertebral Disc,0.49,0.03,3,0.47,0.52
Kidney,0.53,0.02,5,0.51,0.56
Kidney (Cortex),0.53,0.03,3,0.5,0.55
Kidney (Medulla),0.54,0,1,0.54,0.54
Large Intestine,0.54,0.03,4,0.5,0.56
Large Intestine Lumen,0.56,0,2,0.49,0.62
Larynx,0.49,0.03,3,0.47,0.52
Liver,0.52,0.03,9,0.48,0.57
Lung,0.39,0.09,5,0.28,0.48
Lung (Deflated),0.39,0.09,5,0.28,0.48
Lung (Inflated),0.39,0.09,5,0.28,0.48
Lymph,NaN,NaN,0,NaN,NaN
Lymphnode,0.46,0,1,0.46,0.46
Mandible,0.32,0.03,3,0.3,0.36
Medulla Oblongata,0.51,0.02,4,0.49,0.54
Meniscus,0.49,0.03,3,0.47,0.52
Midbrain,0.51,0.02,4,0.49,0.54
Mucous Membrane,0.34,0,1,0.34,0.34
Muscle,0.49,0.04,8,0.42,0.56
Nerve,0.49,0,1,0.49,0.49
Ovary,0.52,0,1,0.52,0.52
Pancreas,0.51,0.05,5,0.47,0.59
Penis,0.46,0.02,3,0.44,0.48
Pharynx,0.03,0,4,0.03,0.03
Pineal Body,0.51,0,1,0.51,0.51
Placenta,0.52,0.02,2,0.5,0.53
Pons,0.51,0.02,4,0.49,0.54
Prostate,0.51,0.03,2,0.49,0.53
SAT (Subcutaneous Fat),0.21,0.02,8,0.18,0.24
Salivary Gland,0.51,0.03,2,0.49,0.53
Seminal vesicle,0.51,0.03,2,0.49,0.53
Skin,0.37,0.06,8,0.32,0.5
Skull Cancellous,0.31,0.03,4,0.29,0.36
Skull Cortical,0.32,0.03,3,0.3,0.36
Small Intestine,0.49,0,1,0.49,0.49
Small Intestine Lumen,0.56,0,2,0.49,0.62
Spinal Cord,0.51,0.02,4,0.49,0.54
Spleen,0.53,0.01,7,0.51,0.55
Stomach,0.53,0.01,4,0.51,0.53
Stomach Lumen,0.56,0,2,0.49,0.62
Tendon\Ligament,0.47,0.04,2,0.44,0.5
Testis,0.52,0,1,0.52,0.52
Thalamus,0.55,0.03,2,0.53,0.56
Thymus,0.34,0,1,0.21,0.46
Thyroid Gland,0.52,0.02,3,0.5,0.53
Tongue,0.49,0.04,8,0.42,0.56
Tooth,0.59,0,1,0.59,0.59
Tooth (Dentine),0.52,0.08,3,0.42,0.57
Tooth (Enamel),0.79,0.2,2,0.65,0.93
Trachea,0.49,0.03,3,0.47,0.52
Trachea Lumen,0.03,0,4,0.03,0.03
Ureter\Urethra,0.46,0.02,3,0.44,0.48
Urinary Bladder Wall,0.52,0.04,4,0.48,0.56
Urine,0.56,0,1,0.56,0.56
Uterus,0.53,0.02,2,0.51,0.54
Vagina,0.54,0.03,4,0.5,0.56
Vertebrae,0.32,0.03,3,0.3,0.36
Water,0.6,0.01,2,0.6,0.61
